cell_id,zone_id,latitude,longitude,satellite_spectral_anomaly,lithology_compatibility,structural_proximity,mineralization_proximity,soil_support_score,terrain_score,data_quality,label,prob_positive
0,B,21.96146152630018,80.17112825542517,0.24395464376443093,0.6226357135673819,0.42534816263528036,0.138705197563195,0.9146281818868295,0.45743570155494495,0.8769655448884757,0,0.37428856788319076
1,G,22.026493055336324,79.92157558176126,0.28406091873844963,0.05640895184731375,0.2352247716993718,0.48645584895324934,0.329804866309312,0.6253669225724349,0.8223099260535607,0,0.4038137755896544
2,B,21.699870101058504,79.93849386646698,0.3902720399385139,0.6189990107891633,0.6315496484813835,0.4808104897890116,0.7216241660966145,0.5157857904130602,0.7502533351453794,0,0.439639164641251
3,D,21.608003139243817,80.49806616543508,0.29864681446248165,0.7993971584150121,0.16258525624271444,0.11401987367971433,0.6163846534229892,0.7656946889120191,0.4256658714893174,0,0.4079376144844017
4,A,21.95983458752012,80.32893351036313,0.41835336214606494,0.49090157316490474,0.18650935241835176,0.15099696400349477,0.6500796996080213,0.2824892716286433,0.30740663341237345,1,0.5054958260638195
5,F,21.73723770638064,80.26425383311708,0.49963164721546416,0.25824312355720147,0.041123456288750214,0.24151825311683298,0.4613393309623532,0.4000039111989692,0.8186715900194078,0,0.2951787179471171
6,H,21.773065553623706,80.1095125479476,0.3039632841398589,0.7083867858282937,0.12335229608727624,0.7189156662452485,0.4138351034991731,0.5902936973467258,0.5272630099928995,0,0.4326429322550765
7,A,21.84291674567333,79.9961484323151,0.15089426689933477,0.1817078187568193,0.6525869504838365,0.2145505841811853,0.40678654238400475,0.6509522066901623,0.6780738644271666,0,0.24145541409938676
8,B,21.79383873776281,80.32749242805144,0.3293798647231175,0.21170102874251784,0.05849691017648246,0.636414412479288,0.3500459841106397,0.5388147702662301,0.7368932876058826,0,0.2698898119105827
9,A,21.637240730828648,80.38444304860042,0.5237398684560446,0.12439598521453538,0.45312466912471117,0.09493426595650138,0.43611694880807605,0.44568255351335645,0.6339802242890452,0,0.41495827754268305
10,G,21.92677923928387,80.16158067360045,0.16127411465867017,0.38212174610278427,0.011511644341391639,0.3237907529521012,0.3934440294753409,0.4953537879831432,0.9383013338667534,0,0.2816206347934657
11,F,21.71124097996575,80.04362819370873,0.3274650438666328,0.288564089322395,0.4133290944437246,0.4001469837824128,0.564023985192376,0.5162614113663021,0.891719547979342,0,0.3561543078546036
12,B,21.853487333866426,80.0960842783965,0.48761242462451476,0.4299210847593274,0.4842937958189739,0.369705651821107,0.42241577631112226,0.25355590514150117,0.8982958716659156,0,0.3579358791646231
13,F,21.570474217468465,80.3794457913243,0.21620560433097472,0.4950040107022809,0.02499060679574448,0.2984525138991302,0.6681173498864121,0.8424598935555362,0.413325131388117,0,0.33313988774614395
14,D,21.94210790182136,80.27319573317386,0.2917858256222017,0.23738350165183064,0.21007500064093115,0.45773945343735234,0.655435834699801,0.5320409555663281,0.7374943932004496,0,0.33790662697251156
15,F,21.823205209128446,80.08207818023669,0.22819733188848898,0.65471195903864,0.03897686596884578,0.5195449584050358,0.7781421227063385,0.6992045498342544,0.6326078564461567,0,0.3443887313161088
16,D,21.91890841240233,80.36120203772641,0.15634583241166214,0.4595203541313839,0.1618700723321867,0.24560611733727628,0.8109865410860219,0.3490816597197783,0.8146234595050639,0,0.4032034212751274
17,H,21.684259224451676,80.22978484849746,0.14563365400354739,0.29776638626921204,0.30486412474085506,0.4171121160278837,0.24382866928181207,0.6352690618584057,0.9817177997704981,0,0.4354781193470832
18,C,21.939044612221775,79.89566267975971,0.32812525315865454,0.36830386902222145,0.19328283152052858,0.39071722667557174,0.3563549400342656,0.24565496745303142,0.39606552276861146,0,0.31486975258987504
19,H,21.848728049335804,80.21494621646191,0.313299117387217,0.5404470954987715,0.41516578992389824,0.14085532432255257,0.476680308794413,0.5035682179389951,0.5216146255097578,0,0.34580834911343106
20,E,21.66685011299048,80.42912634591153,0.32894420762061183,0.2389836472979586,0.14435418454537494,0.7951457006369917,0.3149667427249871,0.08003987885306618,0.9487784803512417,0,0.4745450255833625
21,A,21.760949179210364,80.29197527474304,0.16357224331793252,0.6995512877886901,0.4851609558645043,0.12839924754849844,0.6767760541726823,0.46725715312572863,0.3348700730622581,0,0.39929616507927296
22,D,21.909197679499066,80.17587528121632,0.41305495459492536,0.5254219313638447,0.37930865589552276,0.49802807841143565,0.517480142023692,0.33040446773558024,0.7528991651222287,0,0.4531080887264534
23,D,21.805878619593553,80.09946269939425,0.11293331963858236,0.8882873177537269,0.02978653921024711,0.09861540626705267,0.5300778178130655,0.5437692418875152,0.5578678606836818,0,0.4597337106948892
24,E,21.78441451721753,79.91192749726305,0.3648103431760136,0.6368951156610481,0.8045770514453587,0.1765397401020366,0.6532780642649075,0.7335108051140162,0.43263957032382927,0,0.37754216854792294
25,C,21.94041820978323,80.24560226807195,0.29892066136433687,0.1406213849204684,0.45752968055498583,0.026737795063416937,0.4071508278539588,0.7997436545453196,0.5888362179092452,0,0.3507330774771748
26,H,21.599763275590604,80.14687309628125,0.09624516671128004,0.4932098041844327,0.25470689654233425,0.10247577138353271,0.32853785609413566,0.43732313509346826,0.6224511828724558,0,0.2883179910377632
27,C,21.975217277859954,80.40825756523651,0.395987313395504,0.13947151442768108,0.41090277497087385,0.18864529957561715,0.5625457901116298,0.416806263542118,0.8281901518594115,0,0.4023501293597969
28,G,21.722892636375736,80.12336990174286,0.25349054600379056,0.37398241738964016,0.44173425316665943,0.22384002516301219,0.4372445605965831,0.5392782313563651,0.5979827987454465,0,0.3375132322841228
29,F,21.56381535289328,80.06722582659808,0.6281818928514328,0.3445717171421659,0.27635726536923355,0.398878862338517,0.4571488032726797,0.3046052477686717,0.7349248126768569,0,0.34675448659567165
30,E,21.935425258282475,80.02104341174388,0.22661914083185933,0.24425877868049103,0.2530781546448145,0.10983642478330578,0.5852909728719067,0.6445418431134455,0.9674039649059702,0,0.35917260549409
31,H,21.83137192850775,80.34298084004223,0.5606250264600108,0.2771951009933843,0.4137386408140585,0.13327685819018828,0.663988751438283,0.78217068517014,0.9196356722194196,0,0.36311669237841826
32,G,22.009453033741096,80.2105806599401,0.1640564553357773,0.2941646119734041,0.20875647736641917,0.38997369924503256,0.7826932184126253,0.22343613046241312,0.7106254703730512,0,0.3089515904822141
